movie_name,genre,rating,year,storyline,cleaned_storyline,cleaned_genre,text_features
20. Kraven the Hunter,unknown,5.5,2024,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",kraven complex relationship ruthless father nikolai kravinoff starts path vengeance brutal consequences motivating become greatest hunter world also one feared,unknown,kraven complex relationship ruthless father nikolai kravinoff starts path vengeance brutal consequences motivating become greatest hunter world also one feared unknown
21. Gladiator II,unknown,6.5,2024,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",home conquered tyrannical emperors lead rome lucius forced enter colosseum must look past find strength return glory rome people,unknown,home conquered tyrannical emperors lead rome lucius forced enter colosseum must look past find strength return glory rome people unknown
22. A Complete Unknown,unknown,7.3,2024,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",unknown year old bob dylan arrives new york city guitar forges relationships musical icons meteoric rise culminating groundbreaking performance reverberates around world,unknown,unknown year old bob dylan arrives new york city guitar forges relationships musical icons meteoric rise culminating groundbreaking performance reverberates around world unknown
23. Eden,unknown,6.5,2024,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",based factual account group outsiders settle remote island discover greatest threat brutal climate deadly wildlife,unknown,based factual account group outsiders settle remote island discover greatest threat brutal climate deadly wildlife unknown
24. Babygirl,unknown,5.8,2024,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,high powered ceo puts career family line begins torrid affair much younger intern,unknown,high powered ceo puts career family line begins torrid affair much younger intern unknown
25. Bad Boys: Ride or Die,unknown,6.5,2024,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",late police captain gets linked drug cartels wisecracking miami cops mike lowrey marcus burnett embark dangerous mission clear name,unknown,late police captain gets linked drug cartels wisecracking miami cops mike lowrey marcus burnett embark dangerous mission clear name unknown
26. Nosferatu,unknown,7.1,2024,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",gothic tale obsession haunted young woman terrifying vampire infatuated causing untold horror wake,unknown,gothic tale obsession haunted young woman terrifying vampire infatuated causing untold horror wake unknown
27. The Order,unknown,6.8,2024,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,series bank robberies car heists frightens communities pacific northwest lone fbi agent believes crimes work financially motivated criminals rather group dangerous domestic terrorists,unknown,series bank robberies car heists frightens communities pacific northwest lone fbi agent believes crimes work financially motivated criminals rather group dangerous domestic terrorists unknown
28. Blink Twice,unknown,6.5,2024,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",tech billionaire slater king meets cocktail waitress frida fundraising gala invites join friends dream vacation private island strange things start happen frida questions reality,unknown,tech billionaire slater king meets cocktail waitress frida fundraising gala invites join friends dream vacation private island strange things start happen frida questions reality unknown
29. Kinds of Kindness,unknown,6.4,2024,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",man seeks break free predetermined path cop questions wife demeanor return supposed drowning woman searches extraordinary individual prophesied become renowned spiritual guide,unknown,man seeks break free predetermined path cop questions wife demeanor return supposed drowning woman searches extraordinary individual prophesied become renowned spiritual guide unknown
